		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)
VARIABLES	LABELS	Intercropping	Intercropping	Crop Rotation	Crop Rotation	Improved Seeds	Improved Seeds	Organic Fertilisers	Organic Fertilisers
									
extension_access	Extension access (dummy, Yes=1)	0.130***	0.092***	0.069***	0.115***	0.126***	0.126***	0.017	-0.029**
		(0.016)	(0.015)	(0.013)	(0.013)	(0.013)	(0.014)	(0.012)	(0.013)
age	Age of household head (years)	0.021***	0.018***	0.003	0.004	0.005	0.006	0.002	0.001
		(0.006)	(0.006)	(0.006)	(0.006)	(0.006)	(0.006)	(0.004)	(0.004)
sexe	Sex of household head (dummy, male=1)	-0.026	-0.021	0.039	-0.109***	0.055**	0.110***	-0.001	0.249***
		(0.030)	(0.030)	(0.024)	(0.030)	(0.022)	(0.029)	(0.021)	(0.027)
nbschool	Education level (Number of years)	-0.003	0.002	-0.001	-0.013***	0.003*	0.011***	-0.001	0.016***
		(0.002)	(0.002)	(0.002)	(0.002)	(0.002)	(0.002)	(0.001)	(0.002)
hhsize	Household size (number of persons)	0.007***	0.007***	0.002*	0.002*	-0.002	-0.002*	-0.006***	-0.005***
		(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)
dmurbain	Distance to the nearest urban market (km)	-0.000	-0.001*	0.002***	0.001***	-0.002***	-0.003***	0.001***	0.001***
		(0.001)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)
dmvillage	Distance the nearest village market (km)	-0.007***	-0.008***	-0.007***	-0.004***	0.004***	0.000	-0.004***	-0.007***
		(0.002)	(0.002)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)
association	Cooperative membership (dummy)	-0.004	-0.004	0.031**	0.049***	0.012	0.063***	0.030***	0.023*
		(0.017)	(0.017)	(0.014)	(0.015)	(0.013)	(0.014)	(0.011)	(0.012)
clabor_ha	Labor cost (USD/ha)	-0.000	0.000**	0.000	-0.000	0.001***	0.001***	0.001***	0.002***
		(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)
gsize	Groundnut area (ha)	0.019***	0.023***	0.040***	0.038***	0.017***	0.017***	0.048***	0.050***
		(0.007)	(0.007)	(0.006)	(0.006)	(0.005)	(0.005)	(0.005)	(0.005)
off_farm	Off-farm income (dummy)	0.001	-0.005	0.009	0.012	0.051*	0.045	-0.070***	-0.073***
		(0.032)	(0.032)	(0.026)	(0.026)	(0.031)	(0.031)	(0.023)	(0.023)
dratio	Dependency ratio	0.018***	0.019***	-0.001	-0.001	-0.003	-0.003	0.018***	0.019***
		(0.007)	(0.007)	(0.006)	(0.006)	(0.006)	(0.006)	(0.005)	(0.005)
typsoil1	Clay soil (dummy)	0.014	0.009	0.034*	0.052***	-0.000	-0.003	0.012	-0.004
		(0.021)	(0.022)	(0.017)	(0.020)	(0.017)	(0.019)	(0.015)	(0.017)
typsoil2	Sandy-clay soil (dummy)	0.017	0.020	0.024*	0.035**	-0.004	-0.010	0.025**	0.022
		(0.017)	(0.018)	(0.014)	(0.016)	(0.014)	(0.015)	(0.012)	(0.014)
typsoil3	Silty soil (dummy)	0.009	0.013	0.035**	0.051***	-0.004	-0.008	0.010	-0.000
		(0.021)	(0.022)	(0.017)	(0.020)	(0.017)	(0.019)	(0.015)	(0.017)
Constant	Constant	0.360***	0.266***	-0.018	0.342***	0.454***	0.039	0.875***	0.100**
		(0.068)	(0.049)	(0.047)	(0.047)	(0.049)	(0.045)	(0.038)	(0.045)
									
Observations		8,604	8,604	8,604	8,604	8,604	8,604	8,604	8,604
Number of id		2,868	2,868	2,868	2,868	2,868	2,868	2,868	2,868
Additional controls		Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes
District FE		Yes	No	Yes	No	Yes	No	Yes	No
Year FE		Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes
Robust standard errors in parentheses									
*** p<0.01, ** p<0.05, * p<0.1									
